index,title,zipCode,neighborhood,councilDistrict,policeDistrict,Location
772,LOUNGE 51,21205,Middle East,13,EASTERN,"633 DUNCAN ST
Baltimore, MD"
773,LOU'S BAR,21224,Pulaski Industrial Area,2,SOUTHEASTERN,"4825 EASTERN AVE
Baltimore, MD"
774,LOWELL LIQUOR,21215,Central Park Heights,6,NORTHWESTERN,"3201 WOODLAND AVE
Baltimore, MD"
775,LUCA'S CAF?�,21230,Locust Point Industrial Area,10,SOUTHERN,"1230 FORT AVE
Baltimore, MD"
776,LULU'S OFF BROADWAY,21231,Fells Point,1,SOUTHEASTERN,"1703 ALICEANNA ST
Baltimore, MD"
777,LUMBINI,21201,Downtown,11,CENTRAL,"322 CHARLES ST
Baltimore, MD"
778,LUNA DELSEA,21201,Inner Harbor,11,CENTRAL,"300 PRATT ST
Baltimore, MD"
779,LUST,21202,Downtown,11,CENTRAL,"408 BALTIMORE ST
Baltimore, MD"
780,LYRIC THEATRE,21201,Mid-Town Belvedere,11,CENTRAL,"110 MOUNT ROYAL AVE
Baltimore, MD"
781,M & J'S SOUL FOOD,21218,Charles Village,12,NORTHERN,"102 25TH ST
Baltimore, MD"
782,M & M LIQUOR AND LOUNGE,21215,Central Park Heights,6,NORTHWESTERN,"5142 PARK HEIGHTS AVE
Baltimore, MD"
783,M & S GRILL/MCCORMICK & SCHMICK'S SEAFOOD REST.,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD"
784,MACEO'S,21217,Mondawmin,7,WESTERN,"1926 MONROE ST
Baltimore, MD"
785,MAGERK'S PUB,21230,Federal Hill,10,SOUTHERN,"1061 CHARLES ST
Baltimore, MD"
786,MAGGIE MOORE'S IRISH PUB & RESTAURANT,21201,Downtown,11,CENTRAL,"21 EUTAW ST
Baltimore, MD"
787,mahaffey's pub,21224,Canton,1,SOUTHEASTERN,"2706 dillon st
Baltimore, MD"
788,"MAKUTI ENTERPRISES, LLC",21206,Frankford,2,NORTHEASTERN,"5302 FRANKFORD AVE
Baltimore, MD"
789,MAMA'S ON THE HALF SHELL,21224,Canton,1,SOUTHEASTERN,"2901 O DONNELL ST
Baltimore, MD"
790,MAMMA LUCIA PIZZA,21215,Hanlon-Longwood,7,NORTHWESTERN,"3049 MONDAWMIN MALL
Baltimore, MD"
791,MAMMA ROMA,21215,Glen,5,NORTHWESTERN,"6604 REISTERSTOWN RD
Baltimore, MD"
792,MAMMA'S CUCINA,21211,Hampden,14,NORTHERN,"1020 41ST ST
Baltimore, MD"
793,MARGARETS PLACE,21223,New Southwest/Mount Clare,9,SOUTHERN,"351 CALHOUN ST
Baltimore, MD"
794,MARIA D'S,21230,Federal Hill,10,SOUTHERN,"1016 LIGHT ST
Baltimore, MD"
795,MARTICK'S,21201,Downtown,11,CENTRAL,"214 MULBERRY ST
Baltimore, MD"
796,MARYLAND CASUALTY  COMPANY (CAF?�),21211,Roland Park,14,NORTHERN,"3910 KESWICK RD
Baltimore, MD"
797,MARYLAND CLUB,21202,Mid-Town Belvedere,11,CENTRAL,"1 EAGER ST
Baltimore, MD"
798,MARYLAND SCIENCE CENTER BEAKER'S CAF?�,21230,Otterbein,11,CENTRAL,"601 LIGHT ST
Baltimore, MD"
799,MARY'S TAVERN,21231,Upper Fells Point,1,SOUTHEASTERN,"2057 GOUGH ST
Baltimore, MD"
800,MASTELLONE'S,21234,North Harford Road,3,NORTHEASTERN,"7212 HARFORD RD
Baltimore, MD"
801,MATSURI RESTAURANT,21230,Federal Hill,10,SOUTHERN,"1105 CHARLES ST
Baltimore, MD"
802,matthew's pizza,21224,Canton,1,SOUTHEASTERN,"3131 eastern ave
Baltimore, MD"
803,MAX'S ON BROADWAY,21231,Fells Point,1,SOUTHEASTERN,"735 BROADWAY
Baltimore, MD"
804,MAYNARD'S CAFE & RESTAURANT,21225,Brooklyn,10,SOUTHERN,"3916 HANOVER ST
Baltimore, MD"
805,MBEPB VF #109-PERRY'S CRESENT CAF?�,21202,Downtown,11,CENTRAL,"10 HOWARD ST
Baltimore, MD"
806,MBEPB VF #137--- STATE CENTER CAF?�,21201,Madison Park,11,CENTRAL,"301 preston st
Baltimore, MD"
807,MBEPB VF #34,21201,Seton Hill,11,CENTRAL,"300 GREENE ST
Baltimore, MD"
808,MCCABE'S,21211,Hampden,7,NORTHERN,"3845 FALLS RD
Baltimore, MD"
809,MCCORMICK & SCHMICK SEAFOOD RESTAURANT,21202,Inner Harbor,11,CENTRAL,"711 EASTERN AVE
Baltimore, MD"
810,MCCRACKENS ON KEY,21230,Riverside,10,SOUTHERN,"1400 KEY HIGHWAY
Baltimore, MD"
811,MCDONALD'S,21202,Downtown,11,CENTRAL,"101 BALTIMORE ST
Baltimore, MD"
812,mcdonald's,21202,Brooklyn,10,SOUTHERN,"101 patapsco ave
Baltimore, MD"
813,mcdonald's,21202,Inner Harbor,11,CENTRAL,"200 pratt st
Baltimore, MD"
814,MCDONALD'S,21213,South Clifton Park,12,EASTERN,"2001 BROADWAY
Baltimore, MD"
815,MCDONALD'S,21201,Downtown,11,CENTRAL,"25 HOWARD ST
Baltimore, MD"
816,MCDONALD'S,21218,Better Waverly,12,NORTHERN,"2840 GREENMOUNT
Baltimore, MD"
817,MCDONALD'S,21202,Downtown,11,CENTRAL,"31 CALVERT ST
Baltimore, MD"
818,mcdonald's,21229,Violetville,8,SOUTHWESTERN,"3619 wilkens ave
Baltimore, MD"
819,mcdonald's,21211,Hampden,7,NORTHERN,"3920 falls rd
Baltimore, MD"
820,MCDONALD'S,21215,Central Park Heights,6,NORTHWESTERN,"4401 REISTERSTOWN RD
Baltimore, MD"
821,MCDONALD'S,21212,Radnor-Winston,4,NORTHERN,"5100 YORK RD
Baltimore, MD"
822,MCDONALD'S,21206,Pulaski Industrial Area,2,NORTHEASTERN,"6001 MORAVIA RD
Baltimore, MD"
823,MCDONALD'S  RESTAURANT,21206,Frankford,2,NORTHEASTERN,"5713 BELAIR RD
Baltimore, MD"
824,MCDONALD'S #5437,21224,Baltimore Highlands,1,SOUTHEASTERN,"3401 PULASKI HWY
Baltimore, MD"
825,MCDONALD'S (4526-38),21215,Claremont-Freedom,13,NORTHEASTERN,"4526 ERDMAN AVE
Baltimore, MD"
826,MCDONALD'S 11851,21230,Riverside,10,SOUTHERN,"825 FORT AVE
Baltimore, MD"
827,MCDONALD'S HAMBURGERS,21223,Penrose/Fayette Street Outreach,9,SOUTHWESTERN,"2501 FRANKLIN ST
Baltimore, MD"
828,MCDONALD'S HAMBURGERS,21229,Carroll-South Hilton,8,SOUTHWESTERN,"3249 FREDERICK AVE
Baltimore, MD"
829,MCDONALD'S HAMBURGERS,21201,Downtown,11,CENTRAL,"425 BALTIMORE ST
Baltimore, MD"
830,MCDONALD'S RESTAURANT,21215,Reisterstown Station,5,NORTHWESTERN,"4205 MORTIMER AVE
Baltimore, MD"
831,MCDONALD'S RESTAURANT,21202,Downtown,11,CENTRAL,"45 MARKET PL
Baltimore, MD"
832,MCHENRY STREET PUB,21230,New Southwest/Mount Clare,9,SOUTHERN,"1513 MCHENRY ST
Baltimore, MD"
833,MEADOW MILL ATHLETIC CLUB,21211,Hampden,7,NORTHERN,"3600 CLIPPER MILL RD
Baltimore, MD"
834,MEHEK,21231,Fells Point,1,SOUTHEASTERN,"811 BROADWAY
Baltimore, MD"
835,MELI PATISSERIE & BISTRO,21231,Fells Point,1,SOUTHEASTERN,"818 BROADWAY
Baltimore, MD"
836,METROPOLITAN COFFEEHOUSE AND WINE BAR,21230,Federal Hill,10,SOUTHERN,"902 CHARLES ST
Baltimore, MD"
837,MEX RESTAURANT,21202,Downtown,11,CENTRAL,"26 MARKET PL
Baltimore, MD"
838,MICHAEL'S STEAK & LOBSTER HOUSE,21224,Joseph Lee,2,SOUTHEASTERN,"6207 EASTERN AVE
Baltimore, MD"
839,MICHELLE'S CAF?�,21231,Fells Point,1,SOUTHEASTERN,"1836 EASTERN AVE
Baltimore, MD"
